codgeo	Liste des communes ayant un service de police municipale	Nombre de policiers municipaux	Nombre d’Agents de Surveillance de la voie publique 	Nombre de gardes-champêtres	Nombre de centres de supervision urbaine (CSU)
01004	Ambérieu-en-Bugey	8	2	0	0
01005	Ambérieux-en-Dombes	0	0	1	0
01007	Ambronay	0	1	0	0
01014	Arbent	4	0	0	0
01025	Bâgé-la-Ville	1	0	0	0
01026	Bâgé-le-Châtel	1	0	1	0
01027	Balan	1	0	0	0
01032	Béligneux	1	0	0	0
01033	Bellegarde-sur-Valserine	6	1	0	0
01034	Belley	5	2	0	0
01031	Bellignat	3	0	0	0
01043	Beynost	3	0	0	0
01046	Biziat	0	0	1	0
01053	Bourg-en-Bresse	26	8	0	0
01054	Bourg-Saint-Christophe	0	0	0	0
01058	Brégnier-Cordon		0	1	0
01062	Bressolles	0	0	0	0
01071	Cessy	2	0	0	0
01072	Ceyzériat	1	0	0	0
01073	Ceyzérieu	0	0	1	0
01074	Chalamont	0	1	0	0
01080	Champdor	0	0	1	0
01091	Châtillon-en-Michaille	1	0	0	0
01093	Châtillon-sur-Chalaronne	3	1	0	0
01105	Civrieux	0	0	1	0
01108	Coligny	1	0	0	0
01109	Collonges	0	0	1	0
01138	Culoz	2	0	0	0
01142	Dagneux	1	0	0	0
01143	Divonne-les-Bains	8	0	0	0
01145	Dompierre-sur-Veyle	0	0	1	0
01148	Dortan	1	0	0	0
01151	Druillat	0	0	1	0
01159	Feillens	1	0	0	0
01160	Ferney-Voltaire	4	1	0	0
01169	Genouilleux	0	0	1	0
01173	Gex	5	0		0
01175	Gorrevod	0	0	1	0
01181	Groissiat	0	1	1	0
01184	Hautecourt-Romanèche	0	0	1	0
01185	Hauteville-Lompnes	1	0	0	0
01194	Jassans-Riottier	3	2	0	0
01199	Jujurieux	0	0	1	0
01049	La Boisse	0	0	2	0
01202	Lagnieu	2	0	1	0
01224	Loyettes	1	0	0	0
01231	Manziat	1	0	0	0
01238	Massieux	1	0	0	0
01244	Meximieux	3	0	0	0
01246	Mézériat		0	1	0
01248	Mionnay	1	0	0	0
01249	Miribel	3	0	0	0
01250	Misérieux	0	1	0	0
01261	Monthieux	0	0	1	0
01262	Montluel	4	0	0	0
01263	Montmerle-sur-Saône	2	1	0	0
01264	Montracol	0	0	1	0
01265	Montréal-la-Cluse	1	0	0	0
01269	Nantua	1	2	0	0
01274	Les Neyrolles	0	1	0	0
01275	Neyron	1	0	0	0
01276	Niévroz	1	0	0	0
01283	Oyonnax	15	3	0	0
01289	Péronnas	2	0	0	0
01290	Pérouges	0	0	0	0
01295	Peyzieux-sur-Saône	0	0	1	0
01301	Polliat	0	0	1	0
01303	Poncin	1	0	1	0
01304	Pont-d'Ain	0	1	0	0
01305	Pont-de-Vaux	1	0	0	0
01306	Pont-de-Veyle	0	1	0	0
01313	Prévessin-Moëns	4	0	0	0
01320	Replonges	1	0	0	0
01322	Reyrieux	2	0	0	0
01325	Rignieux-le-Franc	0	0	1	0
01334	Saint-André-d'Huiriat	0	0	1	0
