key,value,date
Autres,1,1903
AlbinMichel,1,1904
Autres,1,1904
AlbinMichel,1,1905
Flammarion,1,1905
Flammarion,1,1906
Plon,1,1906
Autres,1,1907
Plon,1,1907
Autres,1,1908
Plon,1,1908
Autres,1,1909
Plon,1,1909
Autres,1,1910
MercuredeFrance,1,1910
Autres,1,1911
Grasset,1,1911
Autres,1,1912
Grasset,1,1912
Autres,2,1913
Autres,2,1914
Autres,3,1915
Autres,1,1916
Flammarion,1,1916
Plon,1,1916
AlbinMichel,1,1917
Autres,2,1917
Flammarion,1,1918
MercuredeFrance,1,1918
Plon,1,1918
AlbinMichel,2,1919
Gallimard,1,1919
AlbinMichel,1,1920
Autres,2,1920
AlbinMichel,2,1921
Autres,1,1921
AlbinMichel,2,1922
Autres,1,1922
Autres,1,1923
Gallimard,1,1923
Grasset,1,1923
AlbinMichel,1,1924
Gallimard,1,1924
Plon,1,1924
Autres,1,1925
Grasset,2,1925
Gallimard,2,1926
Grasset,1,1926
Plon,1,1926
Autres,1,1927
Gallimard,2,1927
Grasset,1,1927
Autres,2,1928
Grasset,1,1928
Plon,1,1928
Gallimard,2,1929
Grasset,1,1929
Plon,1,1929
Autres,2,1930
Gallimard,1,1930
Grasset,1,1930
Plon,1,1930
AlbinMichel,1,1931
Autres,3,1931
Gallimard,1,1931
Autres,2,1932
Gallimard,1,1932
Grasset,1,1932
Plon,1,1932
Autres,2,1933
Flammarion,1,1933
Gallimard,2,1933
AlbinMichel,1,1934
Autres,1,1934
Gallimard,2,1934
Plon,1,1934
Autres,1,1935
Gallimard,2,1935
Grasset,2,1935
AlbinMichel,1,1936
Autres,3,1936
Plon,1,1936
Autres,3,1937
Gallimard,1,1937
Plon,1,1937
Autres,2,1938
Gallimard,1,1938
Grasset,1,1938
Plon,1,1938
Autres,2,1939
Gallimard,2,1939
Grasset,1,1939
Autres,4,1940
Grasset,1,1940
Autres,1,1941
Gallimard,2,1941
Grasset,1,1941
Autres,2,1942
Gallimard,1,1942
Grasset,1,1942
Autres,2,1943
Gallimard,1,1943
Plon,1,1943
Autres,3,1944
Gallimard,1,1944
Autres,3,1945
Flammarion,2,1945
Autres,3,1946
Julliard,2,1946
Autres,2,1947
Flammarion,1,1947
Gallimard,1,1947
Julliard,1,1947
Autres,3,1948
Julliard,2,1948
Autres,1,1949
Flammarion,1,1949
Gallimard,2,1949
Julliard,1,1949
Autres,3,1950
Gallimard,2,1950
Autres,2,1951
Gallimard,2,1951
Julliard,1,1951
AlbinMichel,1,1952
Autres,1,1952
Gallimard,2,1952
Julliard,1,1952
